15.10.2016 12:39:25 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:39:25 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:42:11 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:42:11 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:42:11 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:42:11 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:50:28 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:50:28 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:50:28 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:50:28 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:55:15 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:55:15 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:55:15 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:55:15 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:57:07 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:57:07 | Alex       | libImg     - getImg             | 44    | WARNING  | FAIL : Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 12:57:07 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 12:57:07 | Alex       | libImg     - setUserImg         | 66    | WARNING  | FAIL : Wrong imgObj type : QtGui.QLabel
15.10.2016 22:30:34 | Alex       | libImg     - getImg             | 44    | WARNING  | Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 22:30:34 | Alex       | libImg     - getImg             | 44    | WARNING  | Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 22:31:38 | Alex       | libImg     - getImg             | 44    | WARNING  | Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 22:31:38 | Alex       | libImg     - getImg             | 44    | WARNING  | Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 22:33:39 | Alex       | libImg     - getImg             | 44    | WARNING  | Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
15.10.2016 22:33:39 | Alex       | libImg     - getImg             | 44    | WARNING  | Path and Env is not valid: D:/Dropbox/arPipeline/v002/PUBLISH/img/user/Alex.png
