21.06.2016 17:00:04 | combineSHD_MODEL - start                  | INFO     | arichter     | START
21.06.2016 17:00:04 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
21.06.2016 17:21:44 | combineSHD_MODEL - start                  | INFO     | arichter     | START
21.06.2016 17:21:44 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:08:20 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:08:20 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:08:51 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:08:51 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:09:10 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:09:10 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:09:25 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:09:25 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:09:29 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:09:29 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:10:01 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:10:01 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:10:17 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:10:17 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:10:37 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:10:37 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:10:39 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:10:39 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:10:41 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:10:41 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:12:07 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:12:07 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:12:27 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:12:27 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:13:33 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:13:33 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:13:49 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:13:49 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:13:50 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:13:50 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
30.06.2016 20:35:11 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:35:46 | combineSHD_MODEL - start                  | INFO     | arichter     | START
30.06.2016 20:35:46 | combineSHD_MODEL - start                  | INFO     | arichter     | End : Combine SHD & MODEL
