19.05.2016 15:12:47 | init             - <module>               | INFO     | arichter     | START
19.05.2016 15:12:50 | menu             - <module>               | INFO     | arichter     | START
23.05.2016 15:51:25 | init             - <module>               | INFO     | arichter     | START
23.05.2016 15:51:28 | menu             - <module>               | INFO     | arichter     | START
23.05.2016 18:23:02 | init             - <module>               | INFO     | arichter     | START
23.05.2016 18:23:24 | menu             - <module>               | INFO     | arichter     | START
30.05.2016 13:39:38 | init             - <module>               | INFO     | arichter     | START
30.05.2016 13:39:41 | menu             - <module>               | INFO     | arichter     | START
31.05.2016 12:10:36 | init             - <module>               | INFO     | arichter     | START
31.05.2016 12:10:39 | menu             - <module>               | INFO     | arichter     | START
01.06.2016 17:01:28 | init             - <module>               | INFO     | arichter     | START
01.06.2016 17:01:30 | menu             - <module>               | INFO     | arichter     | START
21.06.2016 19:45:12 | init             - <module>               | INFO     | arichter     | START
21.06.2016 19:45:37 | menu             - <module>               | INFO     | arichter     | START
29.06.2016 11:08:22 | init             - <module>               | INFO     | arichter     | START
29.06.2016 11:08:24 | menu             - <module>               | INFO     | arichter     | START
29.06.2016 16:40:52 | init             - <module>               | INFO     | arichter     | START
29.06.2016 16:40:55 | menu             - <module>               | INFO     | arichter     | START
